""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"290"	"ethambutol resistant embC"	0	0	0	3	0	3	1	0	1	0	0	2	6
"291"	"ethionamide resistant ethA"	228	31	24	32	2	106	4	6	11	8	74	10	14
"292"	"fluoroquinolone resistant gyrA"	811	355	155	257	69	629	92	40	91	77	708	88	126
"293"	"fluoroquinolone resistant gyrB"	1163	292	137	190	3	672	22	17	59	43	779	61	114
"294"	"fluoroquinolone resistant parC"	191	97	38	58	14	62	25	20	18	24	167	24	36
"295"	"fluoroquinolone resistant parE"	1	3	1	0	0	2	0	0	0	0	9	1	0
"296"	"fosC phosphotransferase family"	266	78	80	138	59	186	58	26	55	53	152	50	63
"297"	"fosfomycin thiol transferase"	5911	2285	1452	2910	1863	4169	2097	1333	2450	2135	3950	2345	2427
"298"	"fusidic acid inactivation enzyme"	1322	814	1034	1447	4437	1180	991	857	1259	956	1397	1163	725
"299"	"gimA family macrolide glycosyltransferase"	350	174	124	165	67	285	87	49	105	102	292	84	142
"300"	"glycopeptide resistance gene cluster; Van ligase"	8767	2999	2299	3086	3733	6340	1925	1349	2867	1830	6026	2052	2764
"301"	"glycopeptide resistance gene cluster; vanK"	941	239	139	230	108	562	70	72	115	81	575	109	144
"302"	"glycopeptide resistance gene cluster; vanR"	5336	1979	1397	2490	2298	3371	1987	1199	2065	1750	2964	1555	1805
"303"	"glycopeptide resistance gene cluster; vanT"	5943	2963	3064	3749	7920	6729	3033	2439	5270	2430	4588	3138	2918
"304"	"glycopeptide resistance gene cluster; vanU"	123	66	22	24	0	65	1	0	10	8	65	7	14
"305"	"glycopeptide resistance gene cluster; vanV"	17	4	0	6	2	20	0	0	2	1	9	1	2
"306"	"glycopeptide resistance gene cluster; vanXY"	1083	637	622	934	1517	1226	681	609	962	642	964	672	752
"307"	"helicase-like RNA polymerase protection protein"	1462	487	605	759	430	1010	495	358	475	454	2791	371	815
"308"	"intrinsic colistin resistant phosphoethanolamine transferase"	2156	618	348	516	247	1064	214	170	294	277	1156	267	364
"309"	"isoniazid resistant inhA"	531	194	97	97	28	326	36	13	66	38	409	53	95
"310"	"isoniazid resistant katG"	726	228	90	198	98	418	129	52	128	54	347	81	112
"311"	"kdpDE"	699	116	67	112	8	297	14	11	39	28	396	36	79
"312"	"lincosamide nucleotidyltransferase (LNU)"	3271	1659	1283	2237	2947	2611	1619	1028	2280	1478	2527	1494	1293
"313"	"lipid A acyltransferase"	150	79	42	68	15	126	14	11	49	37	249	36	59
"314"	"lipid A phosphatase"	256	82	70	83	44	205	34	30	75	62	269	48	61
"315"	"lsa-type ABC-F protein"	3066	2673	741	1709	1704	2631	1113	1145	3451	1304	4882	4253	1508
"316"	"lysocin resistant menA"	0	1	8	0	0	7	0	0	1	0	51	0	4
"317"	"macrolide esterase"	1969	783	859	1290	1847	1603	817	714	1262	782	1281	853	1018
"318"	"macrolide phosphotransferase (MPH)"	8390	3921	3602	4749	8069	7251	3543	2860	6270	3341	7082	3800	4060
"319"	"major facilitator superfamily (MFS) antibiotic efflux pump"	57729	21980	22968	26258	52589	48237	18638	13108	30820	16230	45535	19492	21698
"320"	"major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump"	7411	3299	3283	4665	7058	6606	3767	2463	6328	3624	4333	3829	3695
"321"	"methicillin resistant PBP2"	3337	1029	650	1176	809	2271	732	427	823	688	2075	722	998
"322"	"mgt macrolide glycotransferase"	1458	1270	853	1620	2419	1490	2021	1204	2225	1441	1194	1181	1265
"323"	"msr-type ABC-F protein"	5465	2039	1455	2446	2785	4222	1365	1113	2558	1361	3170	1490	1876
"324"	"multidrug and toxic compound extrusion (MATE) transporter"	4546	1715	2324	2137	6116	3995	1631	1162	3286	1373	3837	1599	1844
"325"	"murG transferase"	0	0	0	0	2	0	0	0	0	2	10	1	2
"326"	"nitroimidazole reductase"	7180	5475	9579	10107	44393	13328	7387	7447	17379	8250	8716	9709	6688
"327"	"non-erm 23S ribosomal RNA methyltransferase (A1067)"	625	304	115	333	93	468	171	116	158	167	609	138	204
"328"	"non-erm 23S ribosomal RNA methyltransferase (G748)"	2963	1172	834	1488	1078	2160	1188	759	1166	1089	2062	1024	1530
"329"	"ole glycosyltransferase"	3579	1226	943	1238	1410	2337	720	592	981	619	1733	814	1009
"330"	"pmr phosphoethanolamine transferase"	10499	3765	2949	4420	5084	7157	3184	2033	4248	2717	6795	2831	3306
"331"	"prothionamide resistant ethA"	148	39	18	58	1	169	2	9	14	10	83	13	23
"332"	"prothionamide resistant katG"	351	99	35	48	1	210	16	5	20	14	56	11	7
"333"	"prothionamide resistant mshA"	0	0	1	0	0	0	0	0	0	0	0	0	0
"334"	"pyrazinamide resistant rpsA"	28	1	26	5	1	19	0	0	5	1	177	7	14
"335"	"quinolone resistance protein (qnr)"	2120	855	434	826	418	1274	481	338	565	425	1684	405	668
"336"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	155377	76343	81666	106482	458606	191774	110464	78115	182438	150724	147245	129670	180751
"337"	"resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams"	1509	410	187	306	151	749	222	91	137	133	499	115	265
"338"	"resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)"	1950	497	319	585	242	1245	144	189	228	216	1295	240	491
"339"	"rifampin ADP-ribosyltransferase (Arr)"	1031	460	297	468	266	743	229	206	379	266	520	282	348
"340"	"rifampin glycosyltransferase"	320	51	57	94	3	165	10	1	30	16	136	14	51
"341"	"rifampin monooxygenase"	5254	1576	1066	2298	1482	3137	1087	843	1237	1008	3066	1042	1681
"342"	"rifampin phosphotransferase"	5449	2980	2335	3652	3301	4243	2939	1810	4493	2832	4460	2689	3311
"343"	"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)"	5028	1454	857	1283	770	3067	677	257	768	620	2778	721	918
"344"	"sal-type ABC-F protein"	5860	2734	3930	3831	9230	6732	3082	2516	5445	2592	4671	2781	3357
"345"	"small multidrug resistance (SMR) antibiotic efflux pump"	575	177	110	195	143	411	112	64	126	103	363	94	154
"346"	"streptogramin vat acetyltransferase"	2791	1022	886	1529	1609	2255	1337	826	1606	1242	1896	1153	1332
"347"	"streptogramin vgb lyase"	7346	6270	4747	10224	9682	7091	7409	6478	8715	8292	6277	7862	7110
"348"	"streptothricin acetyltransferase (SAT)"	1340	661	452	1110	873	1247	976	564	1015	1045	1649	801	1057
"349"	"subclass B1 Bacillus anthracis Bla beta-lactamase"	202	61	9	42	27	132	24	11	8	22	64	13	43
"350"	"subclass B1 Bacillus cereus Bc beta-lactamase"	642	419	312	476	589	530	524	263	583	547	629	585	504
"351"	"subclass B1 Bacteroides xylanisolvens crx beta-lactamase"	371	87	45	60	5	185	15	6	34	16	156	21	51
"352"	"subclass B1 PEDO beta-lactamase"	226	53	30	55	20	131	10	17	24	21	52	23	24
"353"	"subclass B3 LRA beta-lactamase"	2164	1061	872	1325	1878	1900	1005	694	1639	836	2320	1029	1024
"354"	"subclass B3 PEDO beta-lactamase"	1175	689	2083	454	10063	868	2541	257	3975	3542	3076	334	1234
"355"	"sulfonamide resistant dihydropteroate synthase folP"	138	30	16	39	0	99	7	0	5	4	29	6	2
"356"	"sulfonamide resistant sul"	2456	778	517	714	685	1480	528	256	672	433	1250	478	581
"357"	"tetracycline inactivation enzyme"	12608	5535	6432	7489	15902	12168	5321	4028	8673	4730	10156	5518	6243
"358"	"tetracycline-resistant ribosomal protection protein"	11923	4589	3032	5126	3968	8538	3709	2192	4279	3376	7229	3209	4258
"359"	"triclosan resistant gyrA"	75	14	7	9	0	33	0	0	2	1	34	1	4
"360"	"trimethoprim resistant dihydrofolate reductase dfr"	8365	3499	2715	4664	5109	6312	3684	2345	4223	3420	7454	3498	4309
"361"	"tunicamycin resistance protein"	286	204	154	312	257	197	284	219	306	287	248	264	382
"362"	"undecaprenyl pyrophosphate related proteins"	441	259	152	73	8	243	13	26	41	28	909	38	120
"363"	"vanH; glycopeptide resistance gene cluster"	3645	1517	1246	1506	1037	2501	1233	665	1197	1113	3354	1194	1644
"364"	"vanJ membrane protein"	523	238	203	301	321	429	172	136	282	182	286	168	223
"365"	"vanS; glycopeptide resistance gene cluster"	7291	3168	2597	4129	4730	5069	3559	2036	3809	3057	4814	2703	3902
"366"	"vanW; glycopeptide resistance gene cluster"	2374	1456	1185	2067	1542	1858	1795	1153	1805	1863	2279	1712	1464
"367"	"vanX; glycopeptide resistance gene cluster"	2233	577	320	573	215	1108	217	176	153	180	765	191	302
"368"	"vanY; glycopeptide resistance gene cluster"	1323	482	292	596	308	988	271	229	343	234	1107	264	316
"369"	"vanZ; glycopeptide resistance gene cluster"	62	52	54	91	87	73	62	37	78	43	87	46	84
"370"	"vga-type ABC-F protein"	4895	2040	2270	2915	4460	4501	2235	1641	3153	2051	3830	2137	2271
"371"	"viomycin phosphotransferase"	916	242	89	189	52	470	84	35	86	89	406	104	94
